Datetime,Water Level (m)
2024-05-21 12:00:00,0.65827316
2024-05-21 13:00:00,0.49876237
2024-05-21 14:00:00,0.3250328
2024-05-21 15:00:00,0.20736797
2024-05-21 16:00:00,0.14036202
2024-05-21 17:00:00,0.09170993
2024-05-21 18:00:00,0.054210916
2024-05-21 19:00:00,0.13692845
2024-05-21 20:00:00,0.3923663
2024-05-21 21:00:00,0.6312257
2024-05-21 22:00:00,0.7925598
2024-05-21 23:00:00,0.85225874
2024-05-22 00:00:00,0.77705365
2024-05-22 01:00:00,0.5817904
2024-05-22 02:00:00,0.4314226
2024-05-22 03:00:00,0.30635163
2024-05-22 04:00:00,0.21677431
2024-05-22 05:00:00,0.14456107
2024-05-22 06:00:00,0.092399396
2024-05-22 07:00:00,0.17661427
2024-05-22 08:00:00,0.4716913
2024-05-22 09:00:00,0.74217194
2024-05-22 10:00:00,0.9448651
2024-05-22 11:00:00,1.069379
2024-05-22 12:00:00,1.0702279
2024-05-22 13:00:00,0.9147697
2024-05-22 14:00:00,0.7126319
2024-05-22 15:00:00,0.56497663
2024-05-22 16:00:00,0.44837746
2024-05-22 17:00:00,0.35906774
2024-05-22 18:00:00,0.28288916
2024-05-22 19:00:00,0.23666888
2024-05-22 20:00:00,0.38980556
2024-05-22 21:00:00,0.66120243
2024-05-22 22:00:00,0.890872
2024-05-22 23:00:00,1.0031419
2024-05-23 00:00:00,0.99753606
2024-05-23 01:00:00,0.84069204
2024-05-23 02:00:00,0.66964334
2024-05-23 03:00:00,0.5254989
2024-05-23 04:00:00,0.40220693
2024-05-23 05:00:00,0.310474
2024-05-23 06:00:00,0.235671
2024-05-23 07:00:00,0.19740872
2024-05-23 08:00:00,0.40403023
2024-05-23 09:00:00,0.7154316
2024-05-23 10:00:00,0.9825105
2024-05-23 11:00:00,1.1558174
2024-05-23 12:00:00,1.2333238
2024-05-23 13:00:00,1.1510366
2024-05-23 14:00:00,0.9428433
2024-05-23 15:00:00,0.7667457
2024-05-23 16:00:00,0.628202
2024-05-23 17:00:00,0.5180384
2024-05-23 18:00:00,0.4287884
2024-05-23 19:00:00,0.35471654
2024-05-23 20:00:00,0.34466058
2024-05-23 21:00:00,0.5730777
2024-05-23 22:00:00,0.8499334
2024-05-23 23:00:00,1.0457839
2024-05-24 00:00:00,1.1178806
2024-05-24 01:00:00,1.0502704
2024-05-24 02:00:00,0.8619427
2024-05-24 03:00:00,0.7004223
2024-05-24 04:00:00,0.5568498
2024-05-24 05:00:00,0.44059417
2024-05-24 06:00:00,0.35127905
2024-05-24 07:00:00,0.27910557
2024-05-24 08:00:00,0.30468565
2024-05-24 09:00:00,0.60138744
2024-05-24 10:00:00,0.92204255
2024-05-24 11:00:00,1.1594037
2024-05-24 12:00:00,1.3058736
2024-05-24 13:00:00,1.3289247
2024-05-24 14:00:00,1.17654
2024-05-24 15:00:00,0.96042114
2024-05-24 16:00:00,0.79716593
2024-05-24 17:00:00,0.66066283
2024-05-24 18:00:00,0.55705357
2024-05-24 19:00:00,0.46613085
2024-05-24 20:00:00,0.39855134
2024-05-24 21:00:00,0.47646272
2024-05-24 22:00:00,0.74787277
2024-05-24 23:00:00,1.0108229
2024-05-25 00:00:00,1.1544213
2024-05-25 01:00:00,1.1786532
2024-05-25 02:00:00,1.042128
2024-05-25 03:00:00,0.85632426
2024-05-25 04:00:00,0.6999309
2024-05-25 05:00:00,0.56348175
2024-05-25 06:00:00,0.45529482
2024-05-25 07:00:00,0.3691515
2024-05-25 08:00:00,0.31552064
2024-05-25 09:00:00,0.50199246
2024-05-25 10:00:00,0.8617844
2024-05-25 11:00:00,1.1525656
2024-05-25 12:00:00,1.3440129
2024-05-25 13:00:00,1.4447182
2024-05-25 14:00:00,1.3830216
2024-05-25 15:00:00,1.1784738
2024-05-25 16:00:00,0.98194915
2024-05-25 17:00:00,0.83796436
2024-05-25 18:00:00,0.7190382
2024-05-25 19:00:00,0.6188374
2024-05-25 20:00:00,0.5371651
2024-05-25 21:00:00,0.5372587
2024-05-25 22:00:00,0.8574812
2024-05-25 23:00:00,1.1504887
2024-05-26 00:00:00,1.3639046
2024-05-26 01:00:00,1.5054581
2024-05-26 02:00:00,1.5264815
2024-05-26 03:00:00,1.3999856
2024-05-26 04:00:00,1.1992797
2024-05-26 05:00:00,1.033229
2024-05-26 06:00:00,0.9107349
2024-05-26 07:00:00,0.81689113
2024-05-26 08:00:00,0.79516095
2024-05-26 09:00:00,1.010067
2024-05-26 10:00:00,1.3505332
2024-05-26 11:00:00,1.623525
2024-05-26 12:00:00,1.8749022
2024-05-26 13:00:00,2.0543134
2024-05-26 14:00:00,2.1088731
2024-05-26 15:00:00,2.028916
2024-05-26 16:00:00,1.8339341
2024-05-26 17:00:00,1.6284441
2024-05-26 18:00:00,1.4799598
2024-05-26 19:00:00,1.3926693
2024-05-26 20:00:00,1.3086928
2024-05-26 21:00:00,1.2373087
2024-05-26 22:00:00,1.3438442
2024-05-26 23:00:00,1.636145
2024-05-27 00:00:00,1.852545
2024-05-27 01:00:00,2.01648
2024-05-27 02:00:00,2.0775914
2024-05-27 03:00:00,2.022034
2024-05-27 04:00:00,1.8517411
2024-05-27 05:00:00,1.6653976
2024-05-27 06:00:00,1.5263311
2024-05-27 07:00:00,1.4051454
2024-05-27 08:00:00,1.3081669
2024-05-27 09:00:00,1.2607177
2024-05-27 10:00:00,1.3864892
2024-05-27 11:00:00,1.7313697
2024-05-27 12:00:00,1.9905552
